case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,0.016002068483958694,3,-1.8977373916032036e-15,-2.6650065182930586e-15,6.452307131450892e-12,9.0610221621964e-12
fn167,0.016002068483958694,4,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,5,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,6,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,7,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,8,-1.4705548050173872e-15,-1.931037552586747e-15,4.999886337059117e-12,6.56552767879494e-12
fn167,0.016002068483958694,9,-1.6945291149668585e-15,-1.986404227595859e-15,5.761398990887319e-12,6.75377437382592e-12
fn167,0.016002068483958694,10,-1.345958315552928e-15,-1.7362104535737138e-15,4.576258272879955e-12,5.903115542150627e-12
fn167,0.016002068483958694,11,-1.57897617934909e-15,-1.811046904707117e-15,5.368519009786906e-12,6.1575594760041984e-12
fn167,0.016002068483958694,12,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,13,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,14,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,15,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,16,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,17,-4.897082924934042e-16,-6.049540184614341e-16,1.6650081944775742e-12,2.0568436627688757e-12
fn167,0.016002068483958694,18,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,19,-5.979554728243819e-16,-3.577063474823299e-16,2.0330486076028982e-12,1.2162015814399217e-12
fn167,0.016002068483958694,20,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,21,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,22,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,23,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,24,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,25,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,26,-1.4063165417939196e-16,-1.6954781340783426e-16,4.781476242099326e-13,5.764625655866365e-13
fn167,0.016002068483958694,27,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,28,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,29,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,30,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,31,-6.203603954647272e-16,-3.969293444040515e-16,2.1092253445800727e-12,1.3495597709737751e-12
fn167,0.016002068483958694,32,3.295760407152189e-17,3.988879872837707e-17,-1.1205585384317443e-13,-1.3562191567648205e-13
fn167,0.016002068483958694,33,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,34,-8.476014492162615e-18,-1.049642231021305e-17,2.8818449273352886e-14,3.568783585472437e-14
fn167,0.016002068483958694,35,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,36,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,37,6.206450974281157e-16,3.993899734544937e-16,-2.110193331255593e-12,-1.3579259097452786e-12
fn167,0.016002068483958694,38,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,39,0.0,0.0,-0.0,0.0
