case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,0.1278912295049587,19,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,20,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,21,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,22,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,23,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,24,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,25,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,26,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,27,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,28,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,29,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,30,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,31,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,32,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,33,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,34,0.0,0.0,-0.0,0.0
fn167,0.1278912295049587,35,0.0,0.0,-0.0,0.0
fn167,0.19182789294553015,0,-6.745815040984757e-16,-7.216239006478668e-16,2.2935771139348174e-12,2.453521262202747e-12
fn167,0.19182789294553015,1,2.1160961092347024e-17,2.4433310273087356e-17,-7.194726771397989e-14,-8.307325492849701e-14
fn167,0.19182789294553015,2,3.83353177670516e-17,4.600865482773395e-17,-1.3034008040797545e-13,-1.5642942641429545e-13
fn167,0.19182789294553015,3,3.609552548338181e-17,4.4041010900309534e-17,-1.2272478664349817e-13,-1.4973943706105243e-13
fn167,0.19182789294553015,4,0.0,0.0,-0.0,0.0
fn167,0.19182789294553015,5,-2.0397028617868302e-17,1.795191484702069e-16,6.934989730075222e-14,-6.103651047987035e-13
fn167,0.19182789294553015,6,0.0,0.0,-0.0,0.0
fn167,0.19182789294553015,7,6.425734349290886e-17,7.806942049830969e-17,-2.184749678758901e-13,-2.6543602969425296e-13
fn167,0.19182789294553015,8,0.0,0.0,-0.0,0.0
fn167,0.19182789294553015,9,1.2397576369032254e-16,1.4879325398354094e-16,-4.2151759654709663e-13,-5.058970635440392e-13
fn167,0.19182789294553015,10,7.067399851712266e-17,1.3995636549952726e-17,-2.4029159495821703e-13,-4.7585164269839265e-14
fn167,0.19182789294553015,11,1.2000239799749137e-16,1.4213451798408445e-16,-4.0800815319147065e-13,-4.832573611458872e-13
fn167,0.19182789294553015,12,1.1812936311012918e-16,1.3894662678184619e-16,-4.0163983457443923e-13,-4.72418531058277e-13
fn167,0.19182789294553015,13,1.636098894845161e-16,1.6726989398074137e-16,-5.562736242473548e-13,-5.687176395345207e-13
fn167,0.19182789294553015,14,1.1481597912800466e-16,1.3279495046746276e-16,-3.9037432903521584e-13,-4.515028315893734e-13
fn167,0.19182789294553015,15,2.430731949758712e-17,2.2402704195854503e-17,-8.264488629179621e-14,-7.616919426590531e-14
fn167,0.19182789294553015,16,0.0,0.0,-0.0,0.0
fn167,0.19182789294553015,17,-1.610926745241885e-16,-1.4757043470526132e-16,5.477150933822409e-13,5.017394779978885e-13
fn167,0.19182789294553015,18,-1.6109267452419071e-16,-1.4757043470526243e-16,5.477150933822485e-13,5.017394779978923e-13
fn167,0.19182789294553015,19,0.0,0.0,-0.0,0.0
fn167,0.19182789294553015,20,2.4307319497586917e-17,2.2402704195854956e-17,-8.264488629179551e-14,-7.616919426590685e-14
fn167,0.19182789294553015,21,1.1481597912800479e-16,1.3279495046746293e-16,-3.903743290352163e-13,-4.51502831589374e-13
fn167,0.19182789294553015,22,1.63609889484517e-16,1.6726989398074171e-16,-5.562736242473578e-13,-5.687176395345219e-13
fn167,0.19182789294553015,23,1.1812936311012955e-16,1.3894662678184636e-16,-4.016398345744405e-13,-4.724185310582776e-13
fn167,0.19182789294553015,24,1.200023979974911e-16,1.4213451798408484e-16,-4.0800815319146974e-13,-4.832573611458885e-13
fn167,0.19182789294553015,25,7.067399851712421e-17,1.3995636549953922e-17,-2.4029159495822233e-13,-4.7585164269843336e-14
fn167,0.19182789294553015,26,1.23975763690323e-16,1.4879325398354077e-16,-4.2151759654709825e-13,-5.058970635440387e-13
fn167,0.19182789294553015,27,0.0,0.0,-0.0,0.0
fn167,0.19182789294553015,28,0.0,0.0,-0.0,0.0
