benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,station_local_index,x_m,x_over_l,row_block_index,row_block_name,free_surface_panel_index,free_surface_panel_y_m,free_surface_panel_length_m,free_surface_potential_abs,free_surface_potential_phase_deg,matrix_column_norm,row_block_contribution_norm,row_block_free_rhs_norm,total_free_rhs_norm,row_block_to_total_free_rhs_norm_ratio,panel_to_row_block_free_rhs_norm_ratio,panel_to_total_free_rhs_norm_ratio,panel_to_row_block_real_alignment,panel_to_row_block_phase_deg,row_block_to_total_real_alignment,row_block_to_total_phase_deg,gate_role
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,3,0.679316203125,0.44136759374999995,0.8294124423446774,84.23612402014757,3.141592653589793,2.605676035666006,5.127133199303348,6.952556193449732,0.7374457762935904,0.5082130567663141,0.374779572169573,0.5082130567663142,0.0,0.7374457762935903,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,0,-0.679316203125,0.44136759374999995,0.8294124423446774,84.23612402014761,1.5688940496607569,1.3012602455091598,3.370501592623382,6.952556193449732,0.48478595481167913,0.38607317330959706,0.18716285195006788,0.7471356965502425,-11.845448737824274,0.48478595481167913,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,1,-0.23794860937499998,0.44136759374999995,0.8023808614033204,114.91499206224312,1.017005466752051,0.8160257224643965,3.370501592623382,6.952556193449732,0.48478595481167913,0.24210809579509932,0.1173706043876647,0.8737871818999866,15.959379372409932,0.48478595481167913,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,2,0.23794860937499998,0.44136759374999995,0.8023808614033204,114.91499206224312,1.017005466752051,0.8160257224643965,3.370501592623382,6.952556193449732,0.48478595481167913,0.24210809579509932,0.1173706043876647,0.8737871818999863,15.959379372409957,0.48478595481167913,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,3,0.679316203125,0.44136759374999995,0.8294124423446774,84.23612402014757,1.5688940496607566,1.3012602455091595,3.370501592623382,6.952556193449732,0.48478595481167913,0.38607317330959695,0.18716285195006785,0.7471356965502423,-11.845448737824302,0.48478595481167913,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,0,-0.6832792499999999,0.4334415,0.8264620690506355,77.61904717250466,0.27298177070491336,0.22560907902988883,3.0980795298489423,6.903727291288669,0.4487546218342362,0.07282223611634954,0.03267931502951589,0.8833024977820425,-27.424726403102618,0.4487546218342361,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,1,-0.24983774999999997,0.4334414999999999,0.8235028716540165,109.46365500595502,1.6557464230758556,1.363511934133833,3.0980795298489423,6.903727291288669,0.4487546218342362,0.44011521363375583,0.19750373625771017,0.9899133759709221,4.380940425203976,0.4487546218342361,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,2,0.24983775,0.4334415,0.8235028716540165,109.46365500595503,1.6557464230758554,1.363511934133833,3.0980795298489423,6.903727291288669,0.4487546218342362,0.44011521363375583,0.19750373625771017,0.9899133759709221,4.380940425203992,0.4487546218342361,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,3,0.68327925,0.4334414999999999,0.8264620690506355,77.61904717250461,0.27298177070491325,0.22560907902988878,3.0980795298489423,6.903727291288669,0.4487546218342362,0.07282223611634951,0.03267931502951588,0.8833024977820418,-27.424726403102664,0.4487546218342361,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,0,-0.6832792499999999,0.4334415,0.8264620690506355,77.61904717250466,3.141592653589793,2.5964071646000964,5.183526073069862,6.903727291288669,0.7508300740109753,0.5008959399450681,0.3760877356607526,0.5008959399450682,0.0,0.7508300740109753,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,1,-0.24983774999999997,0.4334414999999999,0.8235028716540165,109.46365500595502,3.141592653589793,2.5871105717983562,5.183526073069862,6.903727291288669,0.7508300740109753,0.49910245175369217,0.374741130789284,0.4991024517536922,0.0,0.7508300740109753,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,2,0.24983775,0.4334415,0.8235028716540165,109.46365500595503,3.141592653589793,2.5871105717983567,5.183526073069862,6.903727291288669,0.7508300740109753,0.4991024517536923,0.37474113078928406,0.4991024517536922,0.0,0.7508300740109753,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,3,0.68327925,0.4334414999999999,0.8264620690506355,77.61904717250461,3.141592653589793,2.5964071646000964,5.183526073069862,6.903727291288669,0.7508300740109753,0.5008959399450681,0.3760877356607526,0.5008959399450682,0.0,0.7508300740109753,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,2,eq23_inner_control,0,-0.6832792499999999,0.4334415,0.8264620690506355,77.61904717250466,1.5569906272861767,1.2867936953193804,3.345805013598353,6.903727291288669,0.48463748239595017,0.3845991293842485,0.18639115379645652,0.7424164874688252,-12.437191419127897,0.4846374823959502,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
