benchmark,matrix_cell,candidate_name,station_index,x_m,x_over_l,trapz_weight_m,candidate_transport_force_density_real,candidate_transport_force_density_imag,direct_pressure_gradient_force_density_real,direct_pressure_gradient_force_density_imag,stokes_body_forward_force_density_real,stokes_body_forward_force_density_imag,direct_minus_candidate_force_density_real,direct_minus_candidate_force_density_imag,candidate_minus_stokes_force_density_real,candidate_minus_stokes_force_density_imag,candidate_transport_station_force_real,candidate_transport_station_force_imag,direct_minus_candidate_station_force_real,direct_minus_candidate_station_force_imag,candidate_minus_stokes_station_force_real,candidate_minus_stokes_station_force_imag,station_abs_direct_candidate_residual_share,station_abs_candidate_stokes_residual_share,diagnostic_flags,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,10,0.825,0.27499999999999997,0.07499999999999996,-33.470592434032966,-49.70958440565739,-134.75453962273116,-136.51923566243315,56.24918200800982,81.61314858159487,-101.28394718869819,-86.80965125677577,-89.71977444204279,-131.32273298725227,-2.5102944325524708,-3.728218830424302,-7.59629603915236,-6.5107238442581785,-6.728983083153206,-9.849204974043914,0.021323600879064618,0.018726128366416066,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,11,0.8999999999999999,0.3,0.07500000000000001,-30.859232157077297,-47.87839659666231,-115.99142146573149,-157.78480797324295,43.55036197151072,66.8420308871681,-85.13218930865419,-109.90641137658064,-74.40959412858801,-114.7204274838304,-2.3144424117807976,-3.590879744749674,-6.384914198149065,-8.242980853243548,-5.580719559644102,-8.604032061287281,0.022222895189053918,0.016099804829023536,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,12,0.975,0.325,0.07500000000000007,-24.669967287741784,-37.46122512759817,-93.4974702692009,-166.83054951845853,30.812257353418524,46.60242293036684,-68.82750298145912,-129.36932439086036,-55.48222464116031,-84.06364805796501,-1.8502475465806354,-2.809591884569865,-5.162062723609439,-9.702699329314536,-4.161166848087027,-6.304773604347382,0.023424608729109127,0.011859150154622008,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,13,1.05,0.35000000000000003,0.07500000000000001,-16.623982109368576,-19.130557141741594,-69.45860016798264,-164.142483172411,18.91553990674795,21.551770131707777,-52.83461805861406,-145.0119260306694,-35.53952201611652,-40.682327273449374,-1.2467986582026434,-1.4347917856306198,-3.962596354396055,-10.875894452300207,-2.6654641512087394,-3.0511745455087036,0.024671179405175936,0.006360318706845785,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,14,1.125,0.375,0.07499999999999996,-8.316616143290538,5.983815215947936,-46.089341879519594,-150.83775802492892,8.671369442854411,-7.471945507546661,-37.772725736229056,-156.82157324087686,-16.98798558614495,13.455760723494597,-0.62374621074679,0.44878614119609495,-2.8329544302171774,-11.761617993065757,-1.2740989189608707,1.0091820542620942,0.025785246462754548,0.0025516133501820343,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,15,1.2,0.39999999999999997,0.07499999999999996,-1.142293506805232,36.39163797806827,-25.49480363405791,-128.60595355331867,0.7840823217389524,-39.475960734831354,-24.35251012725268,-164.99759153138695,-1.9263758285441845,75.86759871289962,-0.08567201301039234,2.7293728483551183,-1.82643825954395,-12.374819364854014,-0.14447818714081376,5.690069903467468,0.026661006116036876,0.008935613732339412,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,16,1.275,0.425,0.07499999999999996,3.7735379275689307,70.32934655991632,-9.511587479599465,-99.6490280426427,-4.18712449943226,-73.34067690589782,-13.285125407168396,-169.97837460255903,7.960662427001191,143.67002346581415,0.28301534456766964,5.27470099199372,-0.9963844055376291,-12.748378095191919,0.597049682025089,10.775251759936054,0.027254332352585446,0.016941814448405194,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,17,1.3499999999999999,0.44999999999999996,0.07500000000000007,5.634423682661177,105.84576339527685,0.4650737234217155,-66.59535019975908,-5.865387676256046,-107.85339604439706,-5.169349959239462,-172.44111359503592,11.499811358917224,213.6991594396739,0.4225817761995887,7.938432254645771,-0.38770124694296,-12.933083519627704,0.8624858519187926,16.027436957975556,0.027577526359836495,0.025197579588483753,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,18,1.425,0.47500000000000003,0.07500000000000007,4.020870678633716,140.89243485254391,3.6492789723589443,-32.368265025400376,-4.088675439056049,-141.7502961652027,-0.37159170627477156,-173.2606998779443,8.109546117689764,282.64273101774666,0.301565300897529,10.566932613940804,-0.027869377970607893,-12.994552490845834,0.6082159588267328,21.19820482633102,0.027696220058165577,0.033292361585133254,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,19,1.5,0.5,0.07499999999999996,-1.0798276400617302,173.42162499909853,0.0,0.0,1.0669577787918207,-173.7673669344854,1.0798276400617302,-173.42162499909853,-2.146785418853551,347.1889919335839,-0.08098707300462972,13.006621874932382,0.08098707300462972,-13.006621874932382,-0.16100890641401622,26.039174395018776,0.02772241803570702,0.04087919584730076,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
