case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,0.06395456606438725,19,-4.676990858486633e-16,-2.7339803467476865e-16,1.5901768918854554e-12,9.295533178942133e-13
fn167,0.06395456606438725,20,-7.59578071318433e-16,-5.175870115538334e-16,2.582565442482672e-12,1.7597958392830335e-12
fn167,0.06395456606438725,21,-2.0532633763127241e-16,-7.384207027228036e-17,6.981095479463262e-13,2.5106303892575325e-13
fn167,0.06395456606438725,22,-2.1715487995371676e-16,-9.087249196782376e-17,7.38326591842637e-13,3.089664726906008e-13
fn167,0.06395456606438725,23,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,24,-1.2077709370436446e-16,-6.276657901403812e-17,4.106421185948392e-13,2.1340636864772962e-13
fn167,0.06395456606438725,25,-6.653888488562964e-16,-4.9923007816752e-16,2.2623220861114077e-12,1.697382265769568e-12
fn167,0.06395456606438725,26,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,27,-5.260831232336984e-16,-4.128679296094657e-16,1.7886826189945746e-12,1.4037509606721834e-12
fn167,0.06395456606438725,28,-5.193429977042918e-16,-4.046054879755657e-16,1.7657661921945922e-12,1.3756586591169234e-12
fn167,0.06395456606438725,29,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,30,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,31,-5.193429977042901e-16,-4.046054879755657e-16,1.765766192194586e-12,1.3756586591169234e-12
fn167,0.06395456606438725,32,-5.260831232337012e-16,-4.1286792960947137e-16,1.788682618994584e-12,1.4037509606722026e-12
fn167,0.06395456606438725,33,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,34,-5.382119214427278e-16,-4.274617393624967e-16,1.8299205329052745e-12,1.4533699138324887e-12
fn167,0.06395456606438725,35,-5.439428488847073e-16,-4.343108281426409e-16,1.8494056862080047e-12,1.476656815684979e-12
fn167,0.06395456606438725,36,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,37,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,38,-2.0532633763126063e-16,-7.384207027230023e-17,6.981095479462861e-13,2.510630389258208e-13
fn167,0.06395456606438725,39,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,40,-2.8567181177483467e-16,-2.336815086099512e-16,9.712841600344378e-13,7.945171292738341e-13
fn167,0.06395456606438725,41,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,42,-2.9108131582283946e-16,-2.403976248176217e-16,9.89676473797654e-13,8.173519243799139e-13
fn167,0.06395456606438725,43,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,44,-2.96548521344369e-16,-2.473650301023067e-16,1.0082649725708545e-12,8.410411023478428e-13
fn167,0.06395456606438725,45,-2.99322812026086e-16,-2.509837005934595e-16,1.0176975608886924e-12,8.533445820177622e-13
fn167,0.06395456606438725,46,-5.243152704750217e-16,-1.131285844558857e-16,1.7826719196150738e-12,3.8463718715001133e-13
fn167,0.06395456606438725,47,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,48,-1.7126497437724955e-16,2.269016562905175e-16,5.823009128826485e-13,-7.714656313877595e-13
fn167,0.06395456606438725,49,-4.553699235584735e-16,6.331123276359522e-18,1.5482577400988099e-12,-2.1525819139622375e-14
fn167,0.06395456606438725,50,-1.5700525132147038e-16,-1.356529487043974e-16,5.338178544929993e-13,4.612200255949511e-13
fn167,0.06395456606438725,51,-8.679246057453728e-17,3.755807348493051e-16,2.9509436595342675e-13,-1.2769744984876373e-12
fn167,0.06395456606438725,52,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,53,-2.063407638361702e-17,4.966211015096868e-16,7.015585970429788e-14,-1.688511745132935e-12
fn167,0.06395456606438725,54,-1.6403273702880766e-16,-1.463664141331959e-16,5.577113058979461e-13,4.97645808052866e-13
fn167,0.06395456606438725,55,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,56,-8.436749179783086e-17,-7.686425563190318e-17,2.8684947211262493e-13,2.613384691484708e-13
fn167,0.06395456606438725,57,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,58,0.0,0.0,-0.0,0.0
fn167,0.06395456606438725,59,1.0051446944944539e-15,2.3416546798411487e-15,-3.4174919612811434e-12,-7.961625911459906e-12
fn167,0.0852667872112444,0,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,1,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,2,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,3,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,4,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,5,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,6,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,7,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,8,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,9,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,10,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,11,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,12,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,13,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,14,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,15,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,16,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,17,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,18,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,19,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,20,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,21,0.0,0.0,-0.0,0.0
fn167,0.0852667872112444,22,0.0,0.0,-0.0,0.0
