iteration,residual_mode,shape_mode,value,finite_difference_step,root_defect_derivative,source_signed_root_defect,jacobian_condition_number
1,0,44,-3.2299631567286227,0.00021652091785379378,-0.9910370855255891,8.844320349065687e-06,2373.9994080662364
1,0,45,-3.338515048830402,0.0002205642138713272,-1.0277265610507245,8.844320349065687e-06,2373.9994080662364
1,0,46,-3.4469423956882927,0.00021496736207830797,-1.060581473649974,8.844320349065687e-06,2373.9994080662364
1,0,47,-3.554767709312138,0.00021042438247014452,-1.0898441097006806,8.844320349065687e-06,2373.9994080662364
1,0,48,-3.661759515198605,0.00020682953469349196,-1.1158942515285661,8.844320349065687e-06,2373.9994080662364
1,0,49,-3.7675103051157377,0.000204101897211141,-1.139433263805847,8.844320349065687e-06,2373.9994080662364
1,0,50,-3.871782980883273,0.00020218091026724428,-1.1609281170473056,8.844320349065687e-06,2373.9994080662364
1,0,51,-3.9741669439394283,0.00020102320328430054,-1.1811109515134945,8.844320349065687e-06,2373.9994080662364
1,0,52,-4.074448222133265,0.00020060039139147153,-1.200404569357483,8.844320349065687e-06,2373.9994080662364
1,0,53,-4.172237152685042,0.00020089763393976278,-1.2194584313270718,8.844320349065687e-06,2373.9994080662364
1,0,54,-4.267364121464821,0.00020191282403227498,-1.2385527668614373,8.844320349065687e-06,2373.9994080662364
1,0,55,-4.359475488043996,0.00020365633509680713,-1.258180989841592,8.844320349065687e-06,2373.9994080662364
1,0,56,-4.448458430311671,0.0002061512969631839,-1.2784231810839506,8.844320349065687e-06,2373.9994080662364
1,0,57,-4.534000799880202,0.00020943441617026068,-1.2995879203526057,8.844320349065687e-06,2373.9994080662364
1,0,58,-4.616050666367132,0.00021355739882022353,-1.321537593825606,8.844320349065687e-06,2373.9994080662364
1,0,59,-4.694333519177488,0.00021858908490532666,-1.3444098305221839,8.844320349065687e-06,2373.9994080662364
1,0,60,-4.7688556404628,0.00022461846762633143,-1.3678644574601724,8.844320349065687e-06,2373.9994080662364
1,0,61,-4.839367683033806,0.00023175885950436095,-1.3919191986027224,8.844320349065687e-06,2373.9994080662364
1,0,62,-4.905930538038084,0.00024015359369200696,-1.4160572557648519,8.844320349065687e-06,2373.9994080662364
1,0,63,-4.968305590906876,0.0002499838370535656,-1.4402397266246263,8.844320349065687e-06,2373.9994080662364
1,0,64,-5.026761059728745,0.0002485905776526068,-1.4646083069157083,8.844320349065687e-06,2373.9994080662364
1,0,65,-5.080950611642462,0.00024341955174931874,-1.4887834781459377,8.844320349065687e-06,2373.9994080662364
1,0,66,-5.131184587869422,0.00023892854513151717,-1.511147743053596,8.844320349065687e-06,2373.9994080662364
1,0,67,-5.1770025140016065,0.0002350574180633849,-1.5323801609199645,8.844320349065687e-06,2373.9994080662364
1,0,68,-5.2189319950143345,0.00023175605743272438,-1.550727123063731,8.844320349065687e-06,2373.9994080662364
1,0,69,-5.256371964139487,0.0002289827644529746,-1.567344267171193,8.844320349065687e-06,2373.9994080662364
1,0,70,-5.289788609171186,0.00022670298315024642,-1.5807425143231515,8.844320349065687e-06,2373.9994080662364
1,0,71,-5.318545693806201,0.00022488829422991904,-1.5922544412732842,8.844320349065687e-06,2373.9994080662364
1,0,72,-5.3430919879068,0.0002235156182622258,-1.6005269015378083,8.844320349065687e-06,2373.9994080662364
1,0,73,-5.362833004976155,0.00022256658621952206,-1.606838404090584,8.844320349065687e-06,2373.9994080662364
1,0,74,-5.3783078238824205,0.0002220270458088378,-1.6096516676116783,8.844320349065687e-06,2373.9994080662364
1,0,75,-5.388892590073569,0.00022188667984713773,-1.6103983776945783,8.844320349065687e-06,2373.9994080662364
1,0,76,-5.395224587834727,0.0002221387188722633,-1.6073366985031916,8.844320349065687e-06,2373.9994080662364
1,0,77,-5.39652401115941,0.00022277973479875251,-1.60242520442395,8.844320349065687e-06,2373.9994080662364
1,0,78,-5.393489637571435,0.0002238095060957548,-1.5938246488445398,8.844320349065687e-06,2373.9994080662364
1,0,79,-5.385213795849438,0.00022523094796423777,-1.5839302834927937,8.844320349065687e-06,2373.9994080662364
1,0,80,-5.372459894398134,0.00022705010353463683,-1.570784703254351,8.844320349065687e-06,2373.9994080662364
1,0,81,-5.354368408900117,0.0002292761943608192,-1.5566877423198926,8.844320349065687e-06,2373.9994080662364
1,0,82,-5.331741286270415,0.00023192173058945577,-1.53963036126987,8.844320349065687e-06,2373.9994080662364
1,0,83,-5.303879516515747,0.00023500268325783814,-1.521480850737879,8.844320349065687e-06,2373.9994080662364
1,0,84,-5.271515065236135,0.00023853872333415968,-1.500500037867634,8.844320349065687e-06,2373.9994080662364
