iteration,residual_mode,shape_mode,value,finite_difference_step,root_defect_derivative,jacobian_condition_number
1,1,52,0.31614525634106244,0.00020059733619448645,-1.1691407943654917,1174.577156956001
1,1,53,0.2680464916492846,0.00020089457571382494,-1.1873290502308098,1174.577156956001
1,1,54,0.21542530093240422,0.00020190975057460213,-1.205569183146853,1174.577156956001
1,1,55,0.15821752608722878,0.00020365323384686197,-1.2243554925738722,1174.577156956001
1,1,56,0.09633951431101258,0.00020614815471548317,-1.2437708475824056,1174.577156956001
1,1,57,0.029732887489107067,0.00020943121874837298,-1.2641241054584569,1174.577156956001
1,1,58,-0.04168153818183719,0.00021355413069061964,-1.2852787000698116,1174.577156956001
1,1,59,-0.11795352602127991,0.00021858572870283254,-1.307371306636005,1174.577156956001
1,1,60,-0.19915472758924876,0.00022461500355211894,-1.3300621861914326,1174.577156956001
1,1,61,-0.28532110676470707,0.0002317552645405851,-1.353366061900682,1174.577156956001
1,1,62,-0.37651265285895225,0.00024014984055070607,-1.3767711302701273,1174.577156956001
1,1,63,-0.47274503177974453,0.0002499798927352308,-1.400236541869349,1174.577156956001
1,2,0,-0.12706683334380214,0.000210507315730016,0.4186995259663547,1174.577156956001
1,2,1,-0.1801070036172479,0.00014888657914978462,0.5764940309374947,1174.577156956001
1,2,2,-0.18150115563348165,0.00014899293883619384,0.5306170876066663,1174.577156956001
1,2,3,-0.18450526869133133,0.00014917045054266354,0.457855876671162,1174.577156956001
1,2,4,-0.1900552219851904,0.0001494194838463778,0.36320611389899815,1174.577156956001
1,2,5,-0.19919253600078154,0.00014974055863349603,0.2524266730709817,1174.577156956001
1,2,6,-0.21295806892441893,0.00015013434760329587,0.13155294429151113,1174.577156956001
1,2,7,-0.23232240855278846,0.0001506016795253961,0.006539719238706788,1174.577156956001
1,2,8,-0.2581601874228177,0.00015114354327900223,-0.11692740435733467,1174.577156956001
1,2,9,-0.29119898700465735,0.0001517610927103525,-0.23372338667369522,1174.577156956001
1,2,10,-0.33200945043000435,0.00015245565235235382,-0.3393984202762948,1174.577156956001
1,2,11,-0.38096076644031934,0.0001532287240587723,-0.43042527816095605,1174.577156956001
1,2,12,-0.4382355291361764,0.0001540819946145808,-0.5041933269730775,1174.577156956001
1,2,13,-0.5037965535396491,0.00015501734439416748,-0.5591803270109925,1174.577156956001
1,2,14,-0.577428617889334,0.0001560368571503221,-0.5948109264781013,1174.577156956001
1,2,15,-0.6587133439655636,0.00015714283102945842,-0.6115561615241911,1174.577156956001
