benchmark,coefficient,source_row,station_index,x_m,x_over_l,body_normal_velocity_norm,inner_free_surface_normal_derivative_norm,body_potential_norm,free_surface_potential_norm,control_potential_norm,inner_free_surface_normal_derivative_to_body_normal_velocity_ratio,body_potential_to_inner_free_surface_normal_derivative_gain,body_potential_to_body_normal_velocity_gain,free_surface_potential_to_body_potential_ratio,control_potential_to_body_potential_ratio,time_derivative_density_value_per_m,station_trapezoid_weight_m,station_time_derivative_contribution_value,station_abs_contribution_share,coefficient_reference_value,coefficient_computed_value,coefficient_gate_error_ratio,coefficient_status,coefficient_time_component_value,station_integral_time_component_value,required_global_scale_to_reference_from_time_integral,diagnostic_flags,failure_source,gate_role
ma2005_wigley_iii_coefficients,A33,0,15,1.2,0.39999999999999997,6.4158684804327155,1.7820431784936264,2.1839553828866056,1.2522256045661768,0.9967519857377747,0.2777555655837629,1.225534492790864,0.3403990261875364,0.5733750855803057,0.4563975956415075,0.5977324936499564,0.03749999999999998,0.022414968511873353,0.023331540888261317,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,15,1.2,0.39999999999999997,7.153693355682477,2.1550744708761225,2.2360489291784615,1.33626530800998,1.028912426349343,0.3012534034834268,1.0375738562154744,0.31257265555033537,0.5976011037025618,0.46014754548657033,0.5103623524034893,0.03749999999999998,0.019138588215130835,0.019921185847233736,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,16,1.275,0.425,7.2097475182768616,2.091625489468783,2.229102157858388,1.268015082107511,0.9756617661598315,0.29011078185005346,1.0657271911639021,0.309178948667421,0.5688456572693634,0.43769271081644795,0.5434337001014122,0.03749999999999998,0.02037876375380295,0.02121207350892386,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,16,1.275,0.425,6.466141271997185,1.7299119315885987,2.1643226246906475,1.1851621144581523,0.9416059624543827,0.2675338905879308,1.2511172304032405,0.3347162602313756,0.5475903180689389,0.43505804158424344,0.6260549705423808,0.03749999999999998,0.023477061395339265,0.024437063901804255,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,17,1.3499999999999999,0.44999999999999996,6.5012362890157815,1.6729614399815829,2.1351973188585944,1.1137439474204869,0.88466172329187,0.2573297393925135,1.2762979874073488,0.3284294284867226,0.5216117206515871,0.4143231707338321,0.6479683037642896,0.03749999999999998,0.024298811391160847,0.02529241614632264,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,17,1.3499999999999999,0.44999999999999996,7.248878462252596,2.022231736947126,2.212362054399563,1.1947786505281228,0.9202538344309232,0.27897167092503794,1.094020044280122,0.3052005997783096,0.5400466203766937,0.4159598708542671,0.5711374971803168,0.03750000000000009,0.021417656144261932,0.022293447336134805,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,18,1.425,0.47500000000000003,7.272001982699409,1.947069269858376,2.185547624022563,1.117194037471842,0.8631722333264717,0.2677487264842044,1.1224806728019148,0.3005427706458456,0.5111735041561869,0.394945515640505,0.5927093189480256,0.03749999999999998,0.022226599460550948,0.02313546922210289,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,18,1.425,0.47500000000000003,6.521974872376153,1.611286265991213,2.09656300028534,1.0386227587891956,0.8264362895445765,0.2470549637987447,1.3011735062457073,0.3214613734814189,0.4953930593298843,0.394186241687991,0.6628936774912417,0.03750000000000009,0.024858512905921625,0.025875004463140738,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,19,1.5,0.5,7.279651437735191,1.8659076760163753,2.148472700982549,1.0359739414701605,0.8049244066359803,0.25631827182605976,1.1514356945941915,0.2951340073572219,0.4821908795938549,0.3746495853858738,0.6074522221120432,0.03749999999999998,0.022779458329201606,0.023710935089589075,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,19,1.5,0.5,6.528835370166091,1.5446729553581284,2.0485010286203233,0.9605100210593203,0.7674595688405823,0.23659241928761218,1.326171356541543,0.3137620896340982,0.46888432450835965,0.3746444634970335,0.6703518053797167,0.03749999999999998,0.02513819270173936,0.026166120669183387,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,peak_abs_time_contribution_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
