iteration,residual_mode,shape_mode,value,finite_difference_step,jacobian_condition_number
1,19,11,0.02061888615011723,0.0011104145356010224,176.09814849591422
1,20,0,0.24617297815485978,0.0006650873907904612,176.09814849591422
1,20,1,0.39724474865460163,0.0003221044409845302,176.09814849591422
1,20,2,0.2882297086987059,0.0002288349154506379,176.09814849591422
1,20,3,-0.08172425304280932,0.00019002562756517024,176.09814849591422
1,20,4,-5.540774505164186,6.849515118560372e-05,176.09814849591422
1,20,5,-2.9596917871891684,0.00010735658185860183,176.09814849591422
1,20,6,6.113439126455231,0.00015629157810513557,176.09814849591422
1,20,7,-8.193147889331165,0.00022388532376631142,176.09814849591422
1,20,8,2.608924370964867,0.0002971273231367355,176.09814849591422
1,20,9,-5.7633530514181865,0.00047252411051982034,176.09814849591422
1,20,10,-0.19563543666393723,0.0005191410595630095,176.09814849591422
1,20,11,-4.751635845004683,0.0011104145356010224,176.09814849591422
1,21,0,-0.06128321136772103,0.0006650873907904612,176.09814849591422
1,21,1,-0.12278430319571887,0.0003221044409845302,176.09814849591422
1,21,2,-0.16274275562572368,0.0002288349154506379,176.09814849591422
1,21,3,-0.1779332150938321,0.00019002562756517024,176.09814849591422
1,21,4,-0.334284287247758,6.849515118560372e-05,176.09814849591422
1,21,5,-0.09234908756505618,0.00010735658185860183,176.09814849591422
1,21,6,-0.08163507561438435,0.00015629157810513557,176.09814849591422
1,21,7,-0.10356917377864908,0.00022388532376631142,176.09814849591422
1,21,8,-0.03855148642676648,0.0002971273231367355,176.09814849591422
1,21,9,-0.10075354760729406,0.00047252411051982034,176.09814849591422
1,21,10,-0.08577061449104847,0.0005191410595630095,176.09814849591422
1,21,11,-0.11261864029268268,0.0011104145356010224,176.09814849591422
1,22,0,0.2036949959299647,0.0006650873907904612,176.09814849591422
1,22,1,0.3019265679179308,0.0003221044409845302,176.09814849591422
1,22,2,0.14342815489050592,0.0002288349154506379,176.09814849591422
1,22,3,-0.24875897445610773,0.00019002562756517024,176.09814849591422
1,22,4,1.8975417535330037,6.849515118560372e-05,176.09814849591422
1,22,5,-7.301030666694023,0.00010735658185860183,176.09814849591422
1,22,6,14.718465486409647,0.00015629157810513557,176.09814849591422
1,22,7,-1.505658381332643,0.00022388532376631142,176.09814849591422
1,22,8,5.286151859171166,0.0002971273231367355,176.09814849591422
1,22,9,2.8655268529327276,0.00047252411051982034,176.09814849591422
1,22,10,5.337603891717542,0.0005191410595630095,176.09814849591422
1,22,11,4.703312472548107,0.0011104145356010224,176.09814849591422
1,23,0,-0.04148390482646349,0.0006650873907904612,176.09814849591422
1,23,1,-0.08289077335904377,0.0003221044409845302,176.09814849591422
1,23,2,-0.10924967020833215,0.0002288349154506379,176.09814849591422
1,23,3,-0.11837278628028391,0.00019002562756517024,176.09814849591422
1,23,4,-0.19022694504846066,6.849515118560372e-05,176.09814849591422
1,23,5,-0.003784496785229602,0.00010735658185860183,176.09814849591422
1,23,6,-0.062017425594877135,0.00015629157810513557,176.09814849591422
1,23,7,0.0018956690352410226,0.00022388532376631142,176.09814849591422
1,23,8,-0.016282453074010956,0.0002971273231367355,176.09814849591422
1,23,9,-0.0015926780164812948,0.00047252411051982034,176.09814849591422
1,23,10,-0.01855808694326434,0.0005191410595630095,176.09814849591422
1,23,11,-0.0023378426296801875,0.0011104145356010224,176.09814849591422
1,24,0,0.17590092087123566,0.0006650873907904612,176.09814849591422
1,24,1,0.23879933194841735,0.0003221044409845302,176.09814849591422
1,24,2,0.04982907706047771,0.0002288349154506379,176.09814849591422
1,24,3,-0.34217054765947486,0.00019002562756517024,176.09814849591422
1,24,4,1.6345497873511112,6.849515118560372e-05,176.09814849591422
1,24,5,-8.213676212153034,0.00010735658185860183,176.09814849591422
1,24,6,9.029073699929446,0.00015629157810513557,176.09814849591422
1,24,7,1.6362942392009814,0.00022388532376631142,176.09814849591422
1,24,8,-0.32625678230087796,0.0002971273231367355,176.09814849591422
1,24,9,3.3274614114557144,0.00047252411051982034,176.09814849591422
1,24,10,0.6724712370733374,0.0005191410595630095,176.09814849591422
1,24,11,3.0989240027301754,0.0011104145356010224,176.09814849591422
1,25,0,-0.029147056367968334,0.0006650873907904612,176.09814849591422
