component,sigma,omega_rad_s,motion_dof,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_matrix_is_zero,restoring_subtraction,restoring_matrices_sha256,target_identifier,beam_m,deadrise_deg,trim_deg,fn_b,mean_wetted_length_over_b,lcg_from_transom_m,rho_water_kg_m3,gravity_m_s2,matrix_coordinate_contract,response_calibration_used
raw_bem,1.4,7.774541989381373,heave,A53,-7.96837309629698,-0.7792219550485386,0.04796429679627425,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
raw_bem,1.4,7.774541989381373,heave,B33,346.1740160338966,1.9385023359827125,0.021783447596636547,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
raw_bem,1.4,7.774541989381373,heave,B53,26.699538653326986,0.47016305476543463,0.04796429679627425,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
resolved_station_bem,1.4,7.774541989381373,heave,A33,-14.753135199025921,-0.45877839993647257,0.07084926048857236,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
resolved_station_bem,1.4,7.774541989381373,heave,A53,-7.945449485777259,-0.7769802702792538,0.12326061278580727,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
resolved_station_bem,1.4,7.774541989381373,heave,B33,334.97725298922563,1.8758027966983595,0.07084926048857236,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
resolved_station_bem,1.4,7.774541989381373,heave,B53,31.53885453071253,0.5553805398099914,0.12326061278580727,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
total,1.4,7.774541989381373,heave,A33,31.57523109216448,0.9818952922660142,0.017341431925377338,False,external:sun2007_fig7_4_troesch_heave_restoring/restoring_matrices.csv,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
total,1.4,7.774541989381373,heave,A53,-2.4560205530300565,-0.24017263170832673,0.01812545460487833,False,external:sun2007_fig7_4_troesch_heave_restoring/restoring_matrices.csv,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
total,1.4,7.774541989381373,heave,B33,384.87824322603535,2.155237941051985,0.017341431925377338,False,external:sun2007_fig7_4_troesch_heave_restoring/restoring_matrices.csv,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
total,1.4,7.774541989381373,heave,B53,50.75983047345632,0.8938505366946479,0.01812545460487833,False,external:sun2007_fig7_4_troesch_heave_restoring/restoring_matrices.csv,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
transom,1.4,7.774541989381373,heave,A33,-0.0,-0.0,0.0,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
transom,1.4,7.774541989381373,heave,A53,-0.0,-0.0,0.0,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
transom,1.4,7.774541989381373,heave,B33,0.0,0.0,0.0,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
transom,1.4,7.774541989381373,heave,B53,0.0,0.0,0.0,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
transom_extrapolation,1.4,7.774541989381373,heave,A33,0.05508781744245776,0.0017130664364759525,0.27696440091683067,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
transom_extrapolation,1.4,7.774541989381373,heave,A53,-0.022923610519723716,-0.0022416847692851337,0.2772037789248901,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
transom_extrapolation,1.4,7.774541989381373,heave,B33,11.196763044670766,0.06269953928435197,0.27696440091683067,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
transom_extrapolation,1.4,7.774541989381373,heave,B53,-4.8393158773855545,-0.08521748504455692,0.2772037789248901,True,zero_diagnostic_only,deca8635c08b55406735b8a66182839f77c321e6b8e32e8c1f6bd91bd6ceee9a,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
