title,station_index,frequency_index,omega_rad_s,quantity,orientation,row_mode,col_mode,heading_index,wave_heading_rad,wave_heading_deg,force_real,force_imag,complex_added_mass_real_per_m,complex_added_mass_imag_per_m,added_mass_per_m,damping_over_omega_per_m,damping_per_m,status
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,pdstrip_internal_transposed,sway,sway,,,,53.0946693,-0.190895587,97.45469644881163,-0.35038680398189637,97.45469644881163,-0.35038680398189637,-0.25862578104894735,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,pdstrip_internal_transposed,sway,heave,,,,-5.106211756e-05,1.614545181e-05,-9.372396951426786e-05,2.9634803755571486e-05,-9.372396951426786e-05,2.9634803755571486e-05,2.187389530774952e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,pdstrip_internal_transposed,sway,roll,,,,61.4053841,-0.255336761,112.70892439268256,-0.46866788819942357,112.70892439268256,-0.46866788819942357,-0.3459308320424055,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,pdstrip_internal_transposed,heave,sway,,,,0.0001292957168,7.43362325e-05,0.00023732090243710235,0.00013644335804226932,0.00023732090243710235,0.00013644335804226932,0.0001007108990452914,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,pdstrip_internal_transposed,heave,heave,,,,1434.81689,-1252.21497,2633.5910236958184,-2298.427156603606,2633.5910236958184,-2298.427156603606,-1696.503726183226,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,pdstrip_internal_transposed,heave,roll,,,,-0.0001550139277,4.157192234e-05,-0.000284526402904661,7.630481790077316e-05,-0.000284526402904661,7.630481790077316e-05,5.6321736158776074e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,pdstrip_internal_transposed,roll,sway,,,,61.3496132,-0.255129218,112.60655750346687,-0.46828694524730163,112.60655750346687,-0.46828694524730163,-0.34564965230787215,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,pdstrip_internal_transposed,roll,heave,,,,0.0001383675408,-2.936236706e-05,0.00025397213816025324,-5.3894310042362114e-05,0.00025397213816025324,-5.3894310042362114e-05,-3.978020253730844e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,radiation,pdstrip_internal_transposed,roll,roll,,,,81.3284531,-0.341252238,149.27750401323084,-0.6263648254188791,149.27750401323084,-0.6263648254188791,-0.46232931821232337,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,diffraction_force,as_written_section_force_rows,sway,,1,0.0,0.0,7.662620192e-05,5.249335663e-05,,,,,,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,diffraction_force,as_written_section_force_rows,heave,,1,0.0,0.0,-1422.74341,1241.87988,,,,,,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,diffraction_force,as_written_section_force_rows,roll,,1,0.0,0.0,0.0004329821095,0.0003043910256,,,,,,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,froude_krylov_force,as_written_section_force_rows,sway,,1,0.0,0.0,-0.0001831054688,0.0,,,,,,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,froude_krylov_force,as_written_section_force_rows,heave,,1,0.0,0.0,16432.9492,0.0,,,,,,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,3,0.738115072,froude_krylov_force,as_written_section_force_rows,roll,,1,0.0,0.0,0.0001220703125,0.0,,,,,,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,as_written_section_force_rows,sway,sway,,,,66.7317123,-0.368839294,97.98827111195706,-0.5416004399038152,97.98827111195706,-0.5416004399038152,-0.44694912896683514,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,as_written_section_force_rows,sway,heave,,,,0.0001848928514,2.520885027e-05,0.0002714950692138315,3.701645843542205e-05,0.0002714950692138315,3.701645843542205e-05,3.054737890923267e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,as_written_section_force_rows,sway,roll,,,,77.1860275,-0.493231207,113.33929743512626,-0.7242564526909917,113.33929743512626,-0.7242564526909917,-0.5976837661659519,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,as_written_section_force_rows,heave,sway,,,,0.0002716352174,1.98636576e-06,0.0003988668117264331,2.9167623594515297e-06,0.0003988668117264331,2.9167623594515297e-06,2.4070224097152336e-06,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,as_written_section_force_rows,heave,heave,,,,1663.61169,-1516.79175,2442.8330652133,-2227.24393090959,2442.8330652133,-2227.24393090959,-1838.0057724722292,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,as_written_section_force_rows,heave,roll,,,,-0.0002267565578,-6.862734153e-05,-0.00033296737482518585,-0.00010077179673290822,-0.00033296737482518585,-0.00010077179673290822,-8.316069090009432e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,as_written_section_force_rows,roll,sway,,,,77.2563477,-0.493640661,113.44255501064404,-0.7248576914150858,113.44255501064404,-0.7248576914150858,-0.5981799310584374,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,as_written_section_force_rows,roll,heave,,,,-7.514650406e-06,1.733108729e-05,-1.1034447879658353e-05,2.544881918214338e-05,-1.1034447879658353e-05,2.544881918214338e-05,2.1001326307477662e-05,external_pdstrip_reference_smoke_not_a_validation_gate
