node_index,xi,eta
108,6.477379517874373,-0.743965543665702
109,6.530974956294917,-0.752624300588845
110,6.585358587496167,-0.7613586559467659
111,6.640534440819596,-0.7701402100135634
112,6.69649639544666,-0.7790019701727982
113,6.753247957808905,-0.7879142951875725
114,6.810784791265761,-0.7968949783501362
115,6.869108187343041,-0.8059237188857163
116,6.928210504859163,-0.8150355689345679
117,6.988094199642239,-0.8241980598617639
118,7.048752874900582,-0.8334339816311886
119,7.1101861877604735,-0.8427242440121855
120,7.172387955006674,-0.852085890635346
121,7.235355136577319,-0.8615129084727595
122,7.2990820643905625,-0.871014441484036
123,7.363566775474393,-0.8805724081032518
124,7.428802855311919,-0.8901962061282793
125,7.494785753550812,-0.8998802705909924
126,7.561507564243184,-0.9096394727873186
127,7.628966294988727,-0.9194458227784446
128,7.6971524827509,-0.9293200666679048
129,7.766061987183702,-0.9392438690629518
130,7.835685694733567,-0.9492308496855163
131,7.906015981452212,-0.9592819286860356
132,7.977046151597003,-0.9693890567215734
133,8.04876902622834,-0.9795450487489508
134,8.121172697284319,-0.9897736960296306
135,8.19425095156746,-1.0000561429770642
136,8.267992400420528,-1.0104078109013708
137,8.342388848676844,-1.0208190376175523
138,8.41743141413545,-1.0312826114306046
139,8.493107255837401,-1.041817352137462
140,8.569406987431124,-1.052414990902265
141,8.646320881525739,-1.0630673488265887
142,8.723836205139992,-1.073785645502095
143,8.801944022394675,-1.0845513907145414
144,8.880630171130456,-1.0953817264213053
145,8.9598833298658,-1.1062710271913758
146,9.039693147744456,-1.117204403223484
147,9.12004616752521,-1.128187469531462
148,9.200930242460446,-1.1392142045358546
149,9.28233057271356,-1.1502960154261397
150,9.364236158962983,-1.1614144163469675
151,9.446633349514768,-1.172568436052594
152,9.52950715928611,-1.183765086379303
153,9.612843748972445,-1.1950010917288743
154,9.696628527604236,-1.2062769610571071
155,9.780846864483811,-1.217591774724534
156,9.865485207698818,-1.2289348928224155
157,9.950526499776496,-1.2403202001630078
158,10.035955305769145,-1.2517479514378682
159,10.12175722336192,-1.2632091823498697
160,10.207916612313566,-1.274702748555207
161,10.294416717465413,-1.2862345074261265
162,10.381242300067754,-1.2977976526797674
163,10.468375332832043,-1.3094050821509582
164,10.555803162781952,-1.321028170751825
165,10.643506733658686,-1.3326853123135314
166,10.731472010009709,-1.344356119868445
167,10.8196793374169,-1.35606157642688
168,10.908115387434599,-1.3677741156687766
169,10.996762746244933,-1.3794961538270252
170,11.085603742600838,-1.3912313535024583
171,11.174622352147239,-1.4029702652267475
172,11.263799865207401,-1.414723221080759
173,11.353121346722073,-1.426471417562357
174,11.442568746952185,-1.4382192678162211
175,11.532124080715441,-1.4499703801086128
176,11.621769142761218,-1.4617297914680123
