benchmark,coefficient,candidate_name,candidate_order,row_count,station_count,total_current_forward_gradient_integral_value,total_candidate_forward_gradient_integral_value,total_forward_gradient_integral_delta_vs_current,max_abs_station_integral_delta_vs_current,dominant_delta_station_index,dominant_delta_x_over_l,dominant_delta_value,dominant_candidate_density_value_per_m,dominant_current_density_value_per_m,dominant_station_delta_share_of_total_abs_delta,max_gradient_norm_ratio_to_current,median_gradient_norm_ratio_to_current,max_gradient_peak_phase_delta_abs_deg,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,A53,phase_aligned_forward,5,39,39,0.0,5.045062119913525e-17,5.045062119913525e-17,8.675707366865918e-17,1,0.049999999999999996,8.675707366865918e-17,1.1567609822487893e-15,0.0,0.30685803832416,1.884836940686642,0.9532818899775382,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A55,phase_aligned_forward,5,39,39,0.15199283365756522,-0.1689329689541667,-0.32092580261173176,0.49234713828634635,1,0.049999999999999996,-0.49234713828634635,-4.208074419406667,2.3565540910779528,0.20005798781702883,1.787022385913209,0.8852860512881986,177.99400971829283,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B33,phase_aligned_forward,5,39,39,9.045074513727819,-8.875650562967072,-17.92072507669489,3.3340104770911263,1,0.049999999999999996,3.3340104770911263,31.36150585522639,-13.091967172655302,0.0955069642222781,1.884836940686642,0.9532818899775382,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,phase_aligned_forward,5,39,39,1.8232409617498317,-1.5233702809157101,-3.346611242665542,0.8539893224555523,3,0.09999999999999999,-0.8539893224555523,-2.678996568758387,8.707527730648975,0.18700720209970745,1.7638034024005578,0.874616931681061,178.34785669171578,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B53,phase_aligned_forward,5,39,39,-0.37998208414391305,0.7070078789602291,1.0869899631041422,1.5003047146910067,1,0.049999999999999996,1.5003047146910067,14.112677634851876,-5.891385227694885,0.21024741517630402,1.884836940686642,0.9532818899775382,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B55,phase_aligned_forward,5,39,39,1.004094890825823,0.2948430897156961,-0.7092518011101268,0.33237308966234097,1,0.049999999999999996,0.33237308966234097,5.118668476020997,0.6870272805231167,0.19888556120585404,1.787022385913209,0.8852860512881986,177.99400971829283,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,phase_aligned_backward,6,39,39,0.0,-8.856984155377842e-16,-8.856984155377842e-16,5.593707927049078e-16,2,0.075,5.593707927049078e-16,7.458277236065438e-15,0.0,0.21127875547363484,1.843245470819633,1.0829787215471351,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A35,phase_aligned_backward,6,39,39,-1.6080132468849453,0.4118386662505318,2.019851913135477,0.7684836302914843,2,0.075,-0.7684836302914843,-5.424636944678701,4.821811459207756,0.13169460438757086,2.251904763517171,0.941949504145712,179.91309153071256,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A53,phase_aligned_backward,6,39,39,0.0,8.29970107594677e-17,8.29970107594677e-17,1.1886629344979292e-16,2,0.075,1.1886629344979292e-16,1.5848839126639055e-15,0.0,0.38769779957128087,1.843245470819633,1.0829787215471351,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A55,phase_aligned_backward,6,39,39,0.15199283365756522,-0.597571845061383,-0.7495646787189478,0.7810239108572938,2,0.075,-0.7810239108572938,-5.802794936896502,4.610857207867417,0.23309235830122743,2.1566542082690843,0.9776264426284695,179.49300092284003,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
