station,exponent,count,potential,y,computed_q,exact_q
12,1.0,192,quadratic,-0.47147916666666667,0.0006855559429073467,0.0
12,1.0,192,quadratic,-0.4604375,0.000688408037458833,0.0
12,1.0,192,quadratic,-0.4493958333333333,0.0006917270504427561,0.0
12,1.0,192,quadratic,-0.4383541666666667,0.0006955710120198891,0.0
12,1.0,192,quadratic,-0.42731250000000004,0.0007000091953830479,0.0
12,1.0,192,quadratic,-0.41627083333333337,0.0007051249177068054,0.0
12,1.0,192,quadratic,-0.4052291666666667,0.0007110192284506115,0.0
12,1.0,192,quadratic,-0.3941875,0.0007178158326125945,0.0
12,1.0,192,quadratic,-0.38314583333333335,0.0007256677639343302,0.0
12,1.0,192,quadratic,-0.3721041666666667,0.0007347665862544875,0.0
12,1.0,192,quadratic,-0.3610625,0.0007453553257751144,0.0
12,1.0,192,quadratic,-0.35002083333333334,0.0007577470463405072,0.0
12,1.0,192,quadratic,-0.33897916666666666,0.0007723521995941795,0.0
12,1.0,192,quadratic,-0.3279375,0.0007897200606987076,0.0
12,1.0,192,quadratic,-0.3168958333333334,0.0008106036281976089,0.0
12,1.0,192,quadratic,-0.3058541666666667,0.000836065344879196,0.0
12,1.0,192,quadratic,-0.29481250000000003,0.0008676576132278224,0.0
12,1.0,192,quadratic,-0.28377083333333336,0.0009077493143824644,0.0
12,1.0,192,quadratic,-0.27272916666666663,0.0009601595416691823,0.0
12,1.0,192,quadratic,-0.26168749999999996,0.0010315223670214065,0.0
12,1.0,192,quadratic,-0.25064583333333335,0.0011343501051873759,0.0
12,1.0,192,quadratic,-0.23960416666666673,0.0012997831194872052,0.0
12,1.0,192,quadratic,-0.2285625,0.001556955526202185,0.0
12,1.0,192,quadratic,-0.21752083333333327,0.0030660741785279934,0.0
12,1.0,192,quadratic,0.21752083333333333,0.003066074178499328,0.0
12,1.0,192,quadratic,0.2285625,0.001556955526226131,0.0
12,1.0,192,quadratic,0.23960416666666667,0.0012997831195063216,0.0
12,1.0,192,quadratic,0.25064583333333335,0.001134350105179474,0.0
12,1.0,192,quadratic,0.26168749999999996,0.0010315223670106903,0.0
12,1.0,192,quadratic,0.2727291666666667,0.0009601595416789433,0.0
12,1.0,192,quadratic,0.2837708333333333,0.0009077493143743818,0.0
12,1.0,192,quadratic,0.29481250000000003,0.0008676576132107215,0.0
12,1.0,192,quadratic,0.30585416666666665,0.0008360653449023701,0.0
12,1.0,192,quadratic,0.3168958333333334,0.0008106036281956534,0.0
12,1.0,192,quadratic,0.3279375,0.0007897200607006011,0.0
12,1.0,192,quadratic,0.33897916666666666,0.0007723521995960148,0.0
12,1.0,192,quadratic,0.35002083333333334,0.0007577470463389297,0.0
12,1.0,192,quadratic,0.36106249999999995,0.0007453553257632395,0.0
12,1.0,192,quadratic,0.3721041666666667,0.0007347665862856877,0.0
12,1.0,192,quadratic,0.3831458333333333,0.0007256677639356554,0.0
12,1.0,192,quadratic,0.3941875,0.0007178158325837671,0.0
12,1.0,192,quadratic,0.40522916666666664,0.0007110192284855786,0.0
12,1.0,192,quadratic,0.41627083333333337,0.000705124917680562,0.0
12,1.0,192,quadratic,0.4273125,0.0007000091953914794,0.0
12,1.0,192,quadratic,0.43835416666666666,0.0006955710120389554,0.0
12,1.0,192,quadratic,0.4493958333333333,0.0006917270504262852,0.0
12,1.0,192,quadratic,0.4604375,0.0006884080374819072,0.0
12,1.0,192,quadratic,0.47147916666666667,0.0006855559428990711,0.0
12,1.0,192,quadratic,0.48252083333333334,0.0006831218252108838,0.0
12,1.0,192,quadratic,0.4935625,0.000681064155655769,0.0
12,1.0,192,quadratic,0.5046041666666666,0.0006793475012236999,0.0
12,1.0,192,quadratic,0.5156458333333334,0.0006779414792926467,0.0
12,1.0,192,quadratic,0.5266875,0.0006768199208635426,0.0
12,1.0,192,quadratic,0.5377291666666666,0.0006759601949623871,0.0
12,1.0,192,quadratic,0.5487708333333333,0.0006753426590660062,0.0
12,1.0,192,quadratic,0.5598125,0.0006749502085624276,0.0
12,1.0,192,quadratic,0.5708541666666667,0.0006747679054815999,0.0
12,1.0,192,quadratic,0.5818958333333333,0.0006747826700014414,0.0
12,1.0,192,quadratic,0.5929375,0.000674983021627142,0.0
12,1.0,192,quadratic,0.6039791666666667,0.0006753588631819852,0.0
12,1.0,192,quadratic,0.6150208333333333,0.0006759012963891186,0.0
12,1.0,192,quadratic,0.6260625,0.0006766024649892886,0.0
12,1.0,192,quadratic,0.6371041666666666,0.0006774554205326725,0.0
12,1.0,192,quadratic,0.6481458333333333,0.000678454005566463,0.0
12,1.0,192,quadratic,0.6591875,0.0006795927523894398,0.0
12,1.0,192,quadratic,0.6702291666666667,0.0006808667923675001,0.0
12,1.0,192,quadratic,0.6812708333333333,0.0006822717771008254,0.0
12,1.0,192,quadratic,0.6923125,0.0006838038051066762,0.0
12,1.0,192,quadratic,0.7033541666666667,0.0006854593556031002,0.0
12,1.0,192,quadratic,0.7143958333333333,0.0006872352264109748,0.0
12,1.0,192,quadratic,0.7254375,0.0006891284742808756,0.0
12,1.0,192,quadratic,0.7364791666666666,0.000691136357156255,0.0
12,1.0,192,quadratic,0.7475208333333333,0.000693256275916923,0.0
12,1.0,192,quadratic,0.7585625,0.0006954857154183948,0.0
12,1.0,192,quadratic,0.7696041666666666,0.0006978221814127613,0.0
12,1.0,192,quadratic,0.7806458333333333,0.0007002631343329078,0.0
12,1.0,192,quadratic,0.7916875,0.0007028059152927441,0.0
12,1.0,192,quadratic,0.8027291666666666,0.0007054476640599233,0.0
12,1.0,192,quadratic,0.8137708333333333,0.0007081852252815672,0.0
12,1.0,192,quadratic,0.8248125,0.0007110150410285632,0.0
12,1.0,192,quadratic,0.8358541666666666,0.0007139330241631237,0.0
12,1.0,192,quadratic,0.8468958333333333,0.0007169344101378018,0.0
12,1.0,192,quadratic,0.8579375,0.0007200135787751986,0.0
12,1.0,192,quadratic,0.8689791666666666,0.0007231638424081768,0.0
12,1.0,192,quadratic,0.8800208333333333,0.0007263771873237918,0.0
12,1.0,192,quadratic,0.8910625,0.0007296439607549678,0.0
12,1.0,192,quadratic,0.9021041666666667,0.0007329524863189573,0.0
12,1.0,192,quadratic,0.9131458333333333,0.0007362885902481717,0.0
12,1.0,192,quadratic,0.9241874999999999,0.0007396350146782742,0.0
12,1.0,192,quadratic,0.9352291666666666,0.0007429706842503587,0.0
12,1.0,192,quadratic,0.9462708333333333,0.0007462697868450257,0.0
12,1.0,192,quadratic,0.9573125,0.000749500611082378,0.0
12,1.0,192,quadratic,0.9683541666666666,0.0007526240681631892,0.0
12,1.0,192,quadratic,0.9793958333333332,0.0007555917971490958,0.0
12,1.0,192,quadratic,0.9904375,0.0007583437183284637,0.0
12,1.0,192,quadratic,1.0014791666666667,0.0007608048474951922,0.0
12,1.0,192,quadratic,1.0125208333333333,0.0007628811092930388,0.0
12,1.0,192,quadratic,1.0235625000000002,0.0007644537841486274,0.0
12,1.0,192,quadratic,1.0346041666666665,0.0007653720614808244,0.0
12,1.0,192,quadratic,1.0456458333333334,0.0007654429407106998,0.0
12,1.0,192,quadratic,1.0566875,0.0007644173611599838,0.0
12,1.0,192,quadratic,1.0677291666666666,0.0007619708873806163,0.0
12,1.0,192,quadratic,1.0787708333333335,0.0007576764011635542,0.0
12,1.0,192,quadratic,1.0898124999999999,0.0007509648339236618,0.0
12,1.0,192,quadratic,1.1008541666666667,0.0007410676286132212,0.0
12,1.0,192,quadratic,1.1118958333333335,0.0007269306425000787,0.0
12,1.0,192,quadratic,1.1229375,0.0007070822053212323,0.0
